,band_singer,ranking,song,title,genre,year,active_years
0,Johnny Horton,1,The Battle of New Orleans,The Battle of New Orleans,['Country'],1959,1950–1960
1,Bobby Darin,2,Mack the Knife,Mack the Knife,['Moritat'],1959,1956–1973
2,Lloyd Price,3,Personality,Personality,['Pop'],1959,1952–2019
3,Frankie Avalon,4,Venus,Venus,['Pop'],1959,1952–present
4,Paul Anka,5,Lonely Boy,Lonely Boy,['Pop'],1959,1955–present
5,Bobby Darin,6,Dream Lover,Dream Lover,"['Rock and roll', 'doo-wop', 'pop']",1959,1956–1973
6,The Browns,7,The Three Bells,The Three Bells,['FolkCountrypolitan'],1959,1954–1968
7,The Fleetwoods,8,Come Softly to Me,Come Softly to Me,['Pop'],1959,1958 1958 1983
8,Wilbert Harrison,9,Kansas City,Kansas City,['R&B'],1959,1950–1990
9,The Fleetwoods,10,Mr. Blue,Mr. Blue,['Pop'],1959,1958 1958 1983
10,Santo & Johnny,11,Sleep Walk,Sleep Walk,"['Instrumental rock', 'surf rock']",1959,1959–1978
11,Paul Anka,12,Put Your Head on My Shoulder,Put Your Head on My Shoulder,"['Pop', 'doo-wop']",1959,1955–present
12,Lloyd Price,13,Stagger Lee,Stagger Lee,[],1959,1952–2019
13,Ritchie Valens,14,Donna,Donna,"['Rock and roll', 'doo wop']",1959,1957–1959
14,Dodie Stevens,15,Pink Shoe Laces,Pink Shoe Laces,['Pop'],1959,1954-present
15,The Platters,16,Smoke Gets in Your Eyes,Smoke Gets in Your Eyes,['Doo-wop'],1959,1952–present
16,The Coasters,17,Charlie Brown,Charlie Brown,"['Doo-wop', 'pop', 'R&B']",1959,1955–present
17,Martin Denny,18,Quiet Village,Quiet Village,['Exotica'],1959,
18,Carl Dobkins Jr.,19,My Heart Is an Open Book,My Heart Is an Open Book,['Rockabilly'],1959,1957–2020
19,The Everly Brothers,20,(Till) I Kissed You,(Till) I Kissed You,['Pop'],1959,1951–1973 1983–2005
20,Phil Phillips,21,Sea of Love,Sea of Love,"['Rhythm and blues', 'swamp pop']",1959,
21,Dave Cortez,22,The Happy Organ,The Happy Organ,['Rock and rollpop rockrhythm and blues'],1959,1956-present
22,Lloyd Price,23,"[""I'm Gonna Get Married""]",I'm Gonna Get Married,"['R&B', 'pop']",1959,1952–2019
23,The Impalas,24,Sorry (I Ran All the Way Home),Sorry (I Ran All the Way Home),['Doo-wop'],1959,
24,Dion and the Belmonts,25,A Teenager in Love,A Teenager in Love,['Doo-wop'],1959,1957–1960 1966 1972 1973
25,The Crests,26,16 Candles,16 Candles,['Doo-wop'],1959,1954–1978 1980-present
26,Brook Benton,27,"[""It's Just a Matter of Time""]",It's Just a Matter of Time,"['Pop', 'rhythm and blues']",1959,1948–1988
27,Connie Francis,28,Lipstick on Your Collar,Lipstick on Your Collar,['Rock and roll'],1959,1943–2018
28,The Drifters,29,There Goes My Baby,There Goes My Baby,"['Soul', 'rhythm and blues', 'doo-wop']",1959,1953–present
29,Elvis Presley,30,"[""A Big Hunk o' Love""]",A Big Hunk o' Love,['Rock and roll'],1959,1953–1977
30,Johnny and the Hurricanes,31,Red River Rock,Red River Rock,"['Canadian folk music', 'Country', 'Western']",1959,1957 1957 2005 2005
31,Stonewall Jackson,32,Waterloo,Waterloo,['Country'],1959,1956–2012
32,Sammy Turner,33,"[""Lavender's Blue""]",Lavender's Blue,['Nursery rhyme'],1959,
33,Elvis Presley,34,"[""(Now and Then There's) A Fool Such as I""]",(Now and Then There's) A Fool Such as I,['Country'],1959,1953–1977
34,The Virtues,35,Guitar Boogie Shuffle,Guitar Boogie Shuffle,"['Hillbilly boogie', 'rock and roll']",1959,
35,Sandy Nelson,36,Teen Beat,Teen Beat,['Instrumental'],1959,1959–2022
36,Edd Byrnes,37,"Kookie, Kookie (Lend Me Your Comb)","Kookie, Kookie (Lend Me Your Comb)",['Novelty'],1959,1956–1999 1957–present
37,Thomas Wayne,38,Tragedy,Tragedy,['Rockabilly'],1959,1958–1964
38,Connie Francis,39,My Happiness,My Happiness,['Easy listening'],1959,1943–2018
39,Freddy Cannon,40,Tallahassee Lassie,Tallahassee Lassie,['Rock and roll'],1959,1956–present
40,Fabian,41,Tiger,Tiger,['Rock and roll'],1959,1957–present
41,Ricky Nelson,42,Never Be Anyone Else But You,Never Be Anyone Else But You,['Rock and roll'],1959,1949–1985
42,Della Reese,43,"[""Don't You Know?""]",Don't You Know?,"['R&B', 'classic pop']",1959,1944–2014
43,Elvis Presley,44,I Need Your Love Tonight,I Need Your Love Tonight,['Rock and roll'],1959,1953–1977
44,Dinah Washington,45,"[""What a Diff'rence a Day Makes""]",What a Diff'rence a Day Makes,"['Pop', 'vocal jazz']",1959,1941
45,Bill Parsons,46,The All American Boy,The All American Boy,[],1959,1956–present
46,Jerry Wallace,47,Primrose Lane,Primrose Lane,['Country'],1959,1951–1980
47,The Chipmunks,48,"[""Alvin's Harmonica""]",Alvin's Harmonica,['Pop'],1959,1958–1972 1979–present
48,Andy Williams,49,Lonely Street,Lonely Street,['Easy Listening'],1959,1938–2012
49,Ray Charles,50,"[""What'd I Say""]",What'd I Say,['Rhythm and blues'],1959,1947–2004
50,Sarah Vaughan,51,Broken Hearted Melody,Broken Hearted Melody,['Jazz'],1959,1942–1990
