band_singer,ranking,song,title,genre,year
Johnny Horton,1,The Battle of New Orleans,The Battle of New Orleans,['Country'],1959
Bobby Darin,2,Mack the Knife,Mack the Knife,['Moritat'],1959
Lloyd Price,3,Personality,Personality,['Pop'],1959
Frankie Avalon,4,Venus,Venus,['Pop'],1959
Paul Anka,5,Lonely Boy,Lonely Boy,['Pop'],1959
Bobby Darin,6,Dream Lover,Dream Lover,"['Rock and roll', 'doo-wop', 'pop']",1959
The Browns,7,The Three Bells,The Three Bells,['FolkCountrypolitan'],1959
The Fleetwoods,8,Come Softly to Me,Come Softly to Me,['Pop'],1959
Wilbert Harrison,9,Kansas City,Kansas City,['R&B'],1959
The Fleetwoods,10,Mr. Blue,Mr. Blue,['Pop'],1959
Santo & Johnny,11,Sleep Walk,Sleep Walk,"['Instrumental rock', 'surf rock']",1959
Paul Anka,12,Put Your Head on My Shoulder,Put Your Head on My Shoulder,"['Pop', 'doo-wop']",1959
Lloyd Price,13,Stagger Lee,Stagger Lee,[],1959
Ritchie Valens,14,Donna,Donna,"['Rock and roll', 'doo wop']",1959
Dodie Stevens,15,Pink Shoe Laces,Pink Shoe Laces,['Pop'],1959
The Platters,16,Smoke Gets in Your Eyes,Smoke Gets in Your Eyes,['Doo-wop'],1959
The Coasters,17,Charlie Brown,Charlie Brown,"['Doo-wop', 'pop', 'R&B']",1959
Martin Denny,18,Quiet Village,Quiet Village,['Exotica'],1959
Carl Dobkins Jr.,19,My Heart Is an Open Book,My Heart Is an Open Book,['Rockabilly'],1959
The Everly Brothers,20,(Till) I Kissed You,(Till) I Kissed You,['Pop'],1959
Phil Phillips,21,Sea of Love,Sea of Love,"['Rhythm and blues', 'swamp pop']",1959
Dave Cortez,22,The Happy Organ,The Happy Organ,['Rock and rollpop rockrhythm and blues'],1959
Lloyd Price,23,"[""I'm Gonna Get Married""]",I'm Gonna Get Married,"['R&B', 'pop']",1959
The Impalas,24,Sorry (I Ran All the Way Home),Sorry (I Ran All the Way Home),['Doo-wop'],1959
Dion and the Belmonts,25,A Teenager in Love,A Teenager in Love,['Doo-wop'],1959
The Crests,26,16 Candles,16 Candles,['Doo-wop'],1959
Brook Benton,27,"[""It's Just a Matter of Time""]",It's Just a Matter of Time,"['Pop', 'rhythm and blues']",1959
Connie Francis,28,Lipstick on Your Collar,Lipstick on Your Collar,['Rock and roll'],1959
The Drifters,29,There Goes My Baby,There Goes My Baby,"['Soul', 'rhythm and blues', 'doo-wop']",1959
Elvis Presley,30,"[""A Big Hunk o' Love""]",A Big Hunk o' Love,['Rock and roll'],1959
Johnny and the Hurricanes,31,Red River Rock,Red River Rock,"['Canadian folk music', 'Country', 'Western']",1959
Stonewall Jackson,32,Waterloo,Waterloo,['Country'],1959
Sammy Turner,33,"[""Lavender's Blue""]",Lavender's Blue,['Nursery rhyme'],1959
Elvis Presley,34,"[""(Now and Then There's) A Fool Such as I""]",(Now and Then There's) A Fool Such as I,['Country'],1959
The Virtues,35,Guitar Boogie Shuffle,Guitar Boogie Shuffle,"['Hillbilly boogie', 'rock and roll']",1959
Sandy Nelson,36,Teen Beat,Teen Beat,['Instrumental'],1959
Edd Byrnes,37,"Kookie, Kookie (Lend Me Your Comb)","Kookie, Kookie (Lend Me Your Comb)",['Novelty'],1959
Thomas Wayne,38,Tragedy,Tragedy,['Rockabilly'],1959
Connie Francis,39,My Happiness,My Happiness,['Easy listening'],1959
Freddy Cannon,40,Tallahassee Lassie,Tallahassee Lassie,['Rock and roll'],1959
Fabian,41,Tiger,Tiger,['Rock and roll'],1959
Ricky Nelson,42,Never Be Anyone Else But You,Never Be Anyone Else But You,['Rock and roll'],1959
Della Reese,43,"[""Don't You Know?""]",Don't You Know?,"['R&B', 'classic pop']",1959
Elvis Presley,44,I Need Your Love Tonight,I Need Your Love Tonight,['Rock and roll'],1959
Dinah Washington,45,"[""What a Diff'rence a Day Makes""]",What a Diff'rence a Day Makes,"['Pop', 'vocal jazz']",1959
Bill Parsons,46,The All American Boy,The All American Boy,[],1959
Jerry Wallace,47,Primrose Lane,Primrose Lane,['Country'],1959
The Chipmunks,48,"[""Alvin's Harmonica""]",Alvin's Harmonica,['Pop'],1959
Andy Williams,49,Lonely Street,Lonely Street,['Easy Listening'],1959
Ray Charles,50,"[""What'd I Say""]",What'd I Say,['Rhythm and blues'],1959
Sarah Vaughan,51,Broken Hearted Melody,Broken Hearted Melody,['Jazz'],1959
Franck Pourcel,52,Only You (And You Alone),Only You (And You Alone),['Doo-wop'],1959
Billy Grammer,53,Gotta Travel On,Gotta Travel On,['Country'],1959
The Coasters,54,Poison Ivy,Poison Ivy,['Rock and roll'],1959
Fabian,55,Turn Me Loose,Turn Me Loose,['Rock and roll'],1959
Jackie Wilson,56,Lonely Teardrops,Lonely Teardrops,['Rhythm & Blues'],1959
Andy Williams,57,Hawaiian Wedding Song,Hawaiian Wedding Song,['Traditional pop music'],1959
Duane Eddy,58,Forty Miles of Bad Road,Forty Miles of Bad Road,['Instrumental rock'],1959
Frankie Avalon,59,Just Ask Your Heart,Just Ask Your Heart,['Pop'],1959
Travis and Bob,60,Tell Him No,Tell Him No,[],1959
Connie Francis,61,Frankie,Frankie,['Pop'],1959
The Bell Notes,62,"[""I've Had It""]",I've Had It,['Rock and roll'],1959
LaVern Baker,63,I Cried a Tear,I Cried a Tear,['R&B'],1959
The Platters,64,Enchanted,Enchanted,['R&B'],1959
The Skyliners,65,"[""Since I Don't Have You""]",Since I Don't Have You,['Doo-wop'],1959
Ray Anthony,66,Peter Gunn Theme,Peter Gunn Theme,['Instrumental theme music'],1959
The Chipmunks,67,"[""The Chipmunk Song (Christmas Don't Be Late)""]",The Chipmunk Song (Christmas Don't Be Late),['Christmaspopnovelty'],1959
Fats Domino,68,I Want to Walk You Home,I Want to Walk You Home,['R&BPop'],1959
The Fiestas,69,So Fine,So Fine,['Doo-wop'],1959
Frankie Avalon,70,Bobby Sox to Stockings,Bobby Sox to Stockings,['Pop'],1959
Wink Martindale,71,The Deck of Cards,The Deck of Cards,[],1959
Clyde McPhatter,72,"[""A Lover's Question""]",A Lover's Question,['Soul'],1959
The Flamingos,73,I Only Have Eyes for You,I Only Have Eyes for You,"['Doo-wop', 'pop', 'rock and roll']",1959
Ricky Nelson,74,"[""It's Late""]",It's Late,['Rock and roll'],1959
"[""Chris Barber's Jazz Band""]",75,Petite Fleur,Petite Fleur,[],1959
Annette Funicello,76,Tall Paul,Tall Paul,[],1959
The Kingston Trio,77,The Tijuana Jail,The Tijuana Jail,['Folk'],1959
Ricky Nelson,78,Just a Little Too Much,Just a Little Too Much,['Rock and roll'],1959
Jack Scott,79,Goodbye Baby,Goodbye Baby,['Rockabilly'],1959
The Coasters,80,Along Came Jones,Along Came Jones,['Rock and roll'],1959
Tommy Dee,81,Three Stars,Three Stars,[],1959
Frankie Avalon,82,A Boy Without a Girl,A Boy Without a Girl,['Pop'],1959
Ricky Nelson,83,Sweeter Than You,Sweeter Than You,['Ballad'],1959
Skip & Flip,84,It Was I,It Was I,['Rock and roll'],1959
Kathy Linden,85,"Goodbye Jimmy, Goodbye","Goodbye Jimmy, Goodbye",['Pop'],1959
Reg Owen Orchestra,86,Manhattan Spiritual,Manhattan Spiritual,['Big band'],1959
Brook Benton,87,Endlessly,Endlessly,['Soul'],1959
Guy Mitchell,88,Heartaches by the Number,Heartaches by the Number,['Traditional pop'],1959
Frankie Ford,89,Sea Cruise,Sea Cruise,['Rock and roll'],1959
Jackie Wilson,90,"[""That's Why (I Love You So)""]",That's Why (I Love You So),['Soul'],1959
The Falcons,91,"[""You're So Fine""]",You're So Fine,['R&B'],1959
