,ranking,band_singer,title,year,index,song_id
0,1,Johnny Horton,The Battle of New Orleans,1959,0,563949
1,2,Bobby Darin,Mack the Knife,1959,1,362381
2,3,Lloyd Price,Personality,1959,2,963530
3,4,Frankie Avalon,Venus,1959,3,838252
4,5,Paul Anka,Lonely Boy,1959,4,782333
5,6,Bobby Darin,Dream Lover,1959,5,310196
6,7,The Browns,The Three Bells,1959,6,1076312
7,8,The Fleetwoods,Come Softly to Me,1959,7,990620
8,9,Wilbert Harrison,Kansas City,1959,8,1452781
9,10,The Fleetwoods,Mr. Blue,1959,9,1710336
10,1,Percy Faith,Theme from A Summer Place,1960,100,1176835
11,2,Jim Reeves,He'll Have to Go,1960,101,4626324
12,3,The Everly Brothers,Cathy's Clown,1960,102,134890
13,4,Johnny Preston,Running Bear,1960,103,1513892
14,5,Mark Dinning,Teen Angel,1960,104,133982
15,6,Brenda Lee,I'm Sorry,1960,105,715354
16,7,Elvis Presley,It's Now or Never,1960,106,197252
17,8,Jimmy Jones,Handy Man,1960,107,1193876
18,9,Elvis Presley,Stuck on You,1960,108,197256
19,10,Chubby Checker,The Twist,1960,109,75570
20,1,Bobby Lewis,Tossin' and Turnin',1961,198,1354566
21,2,Patsy Cline,I Fall to Pieces,1961,199,683949
0,3,The Highwaymen,Michael,1961,200,1777519.0
1,4,Roy Orbison,Crying,1961,201,668460.0
2,5,Del Shannon,Runaway,1961,202,241451.0
3,6,The Jive Five,My True Story,1961,203,914837.0
4,7,Chubby Checker,Pony Time,1961,204,1293088.0
5,8,The String-A-Longs,Wheels,1961,205,
6,9,Dee Clark,Raindrops,1961,206,1579118.0
7,10,Joe Dowell,Wooden Heart,1961,207,1166436.0
8,1,Acker Bilk,Stranger on the Shore,1962,298,
9,2,Ray Charles,I Can't Stop Loving You,1962,299,432704.0
10,3,Dee Dee Sharp,Mashed Potato Time,1962,300,1730582.0
11,4,Bobby Vinton,Roses Are Red (My Love),1962,301,563312.0
12,5,David Rose,The Stripper,1962,302,
13,6,Shelley Fabares,Johnny Angel,1962,303,1521166.0
14,7,Little Eva,The Loco-Motion,1962,304,155023.0
15,8,The Sensations,Let Me In,1962,305,1064553.0
16,9,Chubby Checker,The Twist,1962,306,75570.0
17,10,The Shirelles,Soldier Boy,1962,307,1563668.0
18,1,The Beach Boys,Surfin' U.S.A.,1963,398,79597.0
19,2,Skeeter Davis,The End of the World,1963,399,375948.0
20,3,The Cascades,Rhythm of the Rain,1963,400,737865.0
21,4,The Chiffons,He's So Fine,1963,401,1698624.0
0,5,Bobby Vinton,Blue Velvet,1963,402,1710257
1,6,Paul & Paula,Hey Paula,1963,403,805876
2,7,Little Stevie Wonder,Fingertips,1963,404,799936
3,8,Andy Williams,Can't Get Used to Losing You,1963,405,855758
4,9,The Angels,My Boyfriend's Back,1963,406,563778
5,10,Kyu Sakamoto,Sukiyaki,1963,407,428013
6,1,The Beatles,I Want to Hold Your Hand,1964,498,123516
7,2,The Beatles,She Loves You,1964,499,111329
8,3,Louis Armstrong,"Hello, Dolly!",1964,500,494809
9,4,Roy Orbison,"Oh, Pretty Woman",1964,501,169421
10,5,The Beach Boys,I Get Around,1964,502,434161
11,6,Dean Martin,Everybody Loves Somebody,1964,503,895462
12,7,Mary Wells,My Guy,1964,504,1612104
13,8,Gale Garnett,We'll Sing in the Sunshine,1964,505,1596676
14,9,J. Frank Wilson & the Cavaliers,Last Kiss,1964,506,1029683
15,10,The Supremes,Where Did Our Love Go,1964,507,524120
16,1,Sam the Sham and the Pharaohs,Wooly Bully,1965,598,370364
17,2,Four Tops,I Can't Help Myself (Sugar Pie Honey Bunch),1965,599,885335
18,3,The Rolling Stones,(I Can't Get No) Satisfaction,1965,600,1544
19,4,We Five,You Were on My Mind,1965,601,1025645
20,5,The Righteous Brothers,You've Lost That Lovin' Feelin',1965,602,210797
21,6,Petula Clark,Downtown,1965,603,1361319
0,7,The Beatles,Help!,1965,604,92584
1,8,"s Hermits""]",Can't You Hear My Heartbeat,1965,605,632739
2,9,Elvis Presley,Crying in the Chapel,1965,606,197559
3,10,The Temptations,My Girl,1965,607,90814
4,1,The Mamas & the Papas,California Dreamin',1966,698,332798
5,2,? and the Mysterians,96 Tears,1966,699,1965517
6,3,Jimmy Ruffin,What Becomes of the Brokenhearted,1966,700,588851
7,4,The Monkees,Last Train to Clarksville,1966,701,1891206
8,5,Four Tops,Reach Out I'll Be There,1966,702,547977
9,6,Nancy Sinatra,These Boots Are Made for Walkin',1966,703,102944
10,7,The Association,Cherish,1966,704,1726045
11,8,Frank Sinatra,Strangers in the Night,1966,705,136757
12,9,Paul Revere & the Raiders,Kicks,1966,706,2263538
13,10,SSgt Barry Sadler,The Ballad of the Green Berets,1966,707,570770
14,1,Lulu,To Sir With Love,1967,798,1182823
15,2,The Box Tops,The Letter,1967,799,472727
16,3,Bobbie Gentry,Ode to Billie Joe,1967,800,203276
17,4,The Association,Windy,1967,801,672238
18,5,The Monkees,I'm a Believer,1967,802,512809
19,6,The Doors,Light My Fire,1967,803,68990
20,7,Frank,Somethin' Stupid,1967,804,98607
21,8,The Turtles,Happy Together,1967,805,143141
0,9,The Young Rascals,Groovin',1967,806,1595957.0
1,10,Frankie Valli,Can't Take My Eyes off You,1967,807,155529.0
2,1,The Beatles,Hey Jude,1968,898,82381.0
3,2,Paul Mauriat,Love is Blue,1968,899,
4,3,Bobby Goldsboro,Honey,1968,900,156071.0
5,4,Otis Redding,(Sittin' On) The Dock of the Bay,1968,901,60905.0
6,5,The Rascals,People Got to Be Free,1968,902,1011811.0
7,6,Cream,Sunshine of Your Love,1968,903,107132.0
8,7,Herb Alpert,This Guy's in Love With You,1968,904,782513.0
9,8,Hugo Montenegro,"The Good, the Bad and the Ugly",1968,905,
10,9,Simon & Garfunkel,Mrs. Robinson,1968,906,79642.0
11,10,Archie Bell & the Drells,Tighten Up,1968,907,692959.0
12,1,The Archies,"Sugar, Sugar",1969,997,155861.0
13,2,The 5th Dimension,Aquarius/Let the Sunshine In,1969,998,2214000.0
14,3,The Temptations,I Can't Get Next to You,1969,999,1663343.0
15,4,The Rolling Stones,Honky Tonk Women,1969,1000,194092.0
16,5,Sly and the Family Stone,Everyday People,1969,1001,500828.0
17,6,Tommy Roe,Dizzy,1969,1002,970916.0
18,7,Sly and the Family Stone,Hot Fun in the Summertime,1969,1003,493108.0
19,8,Tom Jones,I'll Never Fall in Love Again,1969,1004,135226.0
20,9,The Foundations,Build Me Up Buttercup,1969,1005,491215.0
0,10,Tommy James and the Shondells,Crimson and Clover,1969,1006,262837
1,1,Simon & Garfunkel,Bridge Over Troubled Water,1970,1098,79652
2,2,The Carpenters,(They Long to Be) Close to You,1970,1099,82498
3,3,The Guess Who,American Woman,1970,1100,119609
4,4,B.J. Thomas,Raindrops Keep Fallin' on My Head,1970,1101,1995
5,5,Edwin Starr,War,1970,1102,94724
6,6,Diana Ross,Ain't No Mountain High Enough,1970,1103,579785
7,7,The Jackson 5,I'll Be There,1970,1104,110441
8,8,Rare Earth,Get Ready,1970,1105,135642
9,9,The Beatles,Let It Be,1970,1106,1575
10,10,Freda Payne,Band of Gold,1970,1107,1877034
11,1,Three Dog Night,Joy to the World,1971,1198,132428
12,2,Rod Stewart,Maggie May/Reason to Believe,1971,1199,151191
13,3,Carole King,It's Too Late/I Feel the Earth Move,1971,1200,4835507
14,4,The Osmonds,One Bad Apple,1971,1201,624136
15,5,Bee Gees,How Can You Mend a Broken Heart,1971,1202,2254506
16,6,Raiders,Indian Reservation (The Lament of the Cherokee Reservation Indian),1971,1203,315395
17,7,Donny Osmond,Go Away Little Girl,1971,1204,567442
18,8,John Denver,"Take Me Home, Country Roads",1971,1205,138406
19,9,The Temptations,Just My Imagination (Running Away with Me),1971,1206,90812
20,10,Tony Orlando and Dawn,Knock Three Times,1971,1207,621625
0,1,Roberta Flack,The First Time Ever I Saw Your Face,1972,1298,1320150
1,2,"Sullivan""]",Alone Again (Naturally),1972,1299,556507
2,3,Don McLean,American Pie,1972,1300,57030
