,band_singer,singer_url,active_years
0,['Andy Gibb'],['/wiki/Andy_Gibb'],
1,['Bee Gees'],['/wiki/Bee_Gees'],1958–1969 1970–2003 2006 2009–2012
2,['Debby Boone'],['/wiki/Debby_Boone'],1971
3,['Bee Gees'],['/wiki/Bee_Gees'],1958–1969 1970–2003 2006 2009–2012
4,['Exile'],['/wiki/Exile_(American_band)'],1963 1963 1993 1995
5,['Bee Gees'],['/wiki/Bee_Gees'],1958–1969 1970–2003 2006 2009–2012
6,['Player'],['/wiki/Player_(band)'],1976 1982 1995 2003 2007
7,['Andy Gibb'],['/wiki/Andy_Gibb'],
8,['A Taste of Honey'],['/wiki/A_Taste_of_Honey_(band)'],1972 1983
9,['Commodores'],['/wiki/Commodores'],1968
10,['Frankie Valli'],['/wiki/Frankie_Valli'],1953
11,['Paul Davis'],['/wiki/Paul_Davis_(singer)'],1958 1988
12,"['John Travolta', 'Olivia Newton-John']","['/wiki/John_Travolta', '/wiki/Olivia_Newton-John']",
13,['Samantha Sang'],['/wiki/Samantha_Sang'],1966 1981 1999 2004 2007
14,['Eric Clapton'],['/wiki/Eric_Clapton'],
15,['The Rolling Stones'],['/wiki/The_Rolling_Stones'],1962
16,['Billy Joel'],['/wiki/Billy_Joel'],
17,['Wings'],['/wiki/Paul_McCartney_and_Wings'],1971 1981
18,['Yvonne Elliman'],['/wiki/Yvonne_Elliman'],1969 1980 2004
19,['Chic'],['/wiki/Chic_(band)'],1972 1983 1990 1992 1996
20,['Chuck Mangione'],['/wiki/Chuck_Mangione'],1960 2010
21,['Nick Gilder'],['/wiki/Nick_Gilder'],1975
22,['Sweet'],['/wiki/The_Sweet'],1968 (1968)–1982 (1982) 1985 (1985)–present
23,['Bonnie Tyler'],['/wiki/Bonnie_Tyler'],1969
24,['Queen'],['/wiki/Queen_(band)'],1970
25,['Gerry Rafferty'],['/wiki/Gerry_Rafferty'],1965 2011
26,['Barry Manilow'],['/wiki/Barry_Manilow'],1964
27,"['Johnny Mathis', 'Deniece Williams']","['/wiki/Johnny_Mathis', '/wiki/Deniece_Williams']",1956 1968
28,['Peter Brown'],['/wiki/Peter_Brown_(singer)'],
29,['Meat Loaf'],['/wiki/Meat_Loaf'],1968 2021
30,['Raydio'],['/wiki/Raydio'],1977 1981 2014
31,['ABBA'],['/wiki/ABBA'],1972–1982 2016–present
